"id","name","tagID","tagValue","userID"
1,"MALICE MIZER",139,"j-rock",681
1,"MALICE MIZER",139,"j-rock",1545
1,"MALICE MIZER",139,"j-rock",1730
1,"MALICE MIZER",139,"j-rock",1929
1,"MALICE MIZER",139,"j-rock",1984
1,"MALICE MIZER",141,"visual kei",681
1,"MALICE MIZER",141,"visual kei",1545
1,"MALICE MIZER",141,"visual kei",1730
1,"MALICE MIZER",179,"gothic",1545
1,"MALICE MIZER",179,"gothic",1730
1,"MALICE MIZER",541,"japanese",1545
1,"MALICE MIZER",541,"japanese",1730
1,"MALICE MIZER",552,"weeabo",37
1,"MALICE MIZER",1219,"jrock",274
1,"MALICE MIZER",2850,"better than lady gaga",785
2,"Diary of Dreams",14,"ambient",697
2,"Diary of Dreams",18,"electronic",1454
2,"Diary of Dreams",30,"german",40
2,"Diary of Dreams",30,"german",264
2,"Diary of Dreams",30,"german",325
2,"Diary of Dreams",30,"german",1454
2,"Diary of Dreams",30,"german",1679
2,"Diary of Dreams",61,"industrial",225
2,"Diary of Dreams",127,"seen live",40
2,"Diary of Dreams",127,"seen live",1454
2,"Diary of Dreams",179,"gothic",325
2,"Diary of Dreams",179,"gothic",935
2,"Diary of Dreams",179,"gothic",1454
2,"Diary of Dreams",179,"gothic",1679
2,"Diary of Dreams",179,"gothic",1929
2,"Diary of Dreams",190,"gothic rock",1679
2,"Diary of Dreams",233,"dark",697
2,"Diary of Dreams",575,"darkwave",40
2,"Diary of Dreams",575,"darkwave",325
2,"Diary of Dreams",575,"darkwave",935
2,"Diary of Dreams",575,"darkwave",1454
2,"Diary of Dreams",575,"darkwave",1601
2,"Diary of Dreams",575,"darkwave",1604
2,"Diary of Dreams",575,"darkwave",1679
2,"Diary of Dreams",575,"darkwave",1929
2,"Diary of Dreams",727,"vocal",697
2,"Diary of Dreams",10137,"true goth emo",1622
3,"Carpathian Forest",4,"black metal",63
3,"Carpathian Forest",4,"black metal",548
3,"Carpathian Forest",4,"black metal",685
3,"Carpathian Forest",2092,"norwegian black metal",548
3,"Carpathian Forest",3706,"true norwegian black metal",548
3,"Carpathian Forest",3706,"true norwegian black metal",1622
3,"Carpathian Forest",4117,"very kvlt",548
3,"Carpathian Forest",4122,"norsk arysk metal",548
3,"Carpathian Forest",8882,"saxophones",1622
4,"Moi dix Mois",1,"metal",699
4,"Moi dix Mois",1,"metal",1545
4,"Moi dix Mois",7,"gothic metal",1679
4,"Moi dix Mois",73,"rock",1545
4,"Moi dix Mois",139,"j-rock",681
4,"Moi dix Mois",139,"j-rock",1545
4,"Moi dix Mois",139,"j-rock",1679
4,"Moi dix Mois",139,"j-rock",1730
4,"Moi dix Mois",139,"j-rock",1929
4,"Moi dix Mois",139,"j-rock",1984
4,"Moi dix Mois",141,"visual kei",681
4,"Moi dix Mois",141,"visual kei",1545
4,"Moi dix Mois",141,"visual kei",1730
4,"Moi dix Mois",179,"gothic",1545
4,"Moi dix Mois",179,"gothic",1679
4,"Moi dix Mois",179,"gothic",1730
4,"Moi dix Mois",541,"japanese",1545
4,"Moi dix Mois",541,"japanese",1679
4,"Moi dix Mois",541,"japanese",1730
4,"Moi dix Mois",541,"japanese",1929
4,"Moi dix Mois",7561,"gothic japanese",1161
4,"Moi dix Mois",9640,"bazarov",1497
5,"Bella Morte",179,"gothic",557
5,"Bella Morte",190,"gothic rock",557
5,"Bella Morte",575,"darkwave",557
5,"Bella Morte",575,"darkwave",935
5,"Bella Morte",575,"darkwave",1774
5,"Bella Morte",612,"deathrock",935
5,"Bella Morte",1097,"covers",2055
6,"Moonspell",4,"black metal",459
6,"Moonspell",4,"black metal",616
6,"Moonspell",4,"black metal",706
6,"Moonspell",4,"black metal",1342
6,"Moonspell",7,"gothic metal",459
6,"Moonspell",7,"gothic metal",548
6,"Moonspell",7,"gothic metal",616
6,"Moonspell",7,"gothic metal",715
6,"Moonspell",7,"gothic metal",1172
6,"Moonspell",7,"gothic metal",1342
6,"Moonspell",82,"doom metal",459
6,"Moonspell",82,"doom metal",548
6,"Moonspell",82,"doom metal",715
6,"Moonspell",82,"doom metal",1342
6,"Moonspell",127,"seen live",548
6,"Moonspell",179,"gothic",604
